rank,name,mean
species,Paraburkholderia phytofirmans,6.5
species,Elusimicrobium minutum,1
species,Akkermansia muciniphila,3
species,Sulfurihydrogenibium sp. YO3AOP1,3
species,Desulforapulum autotrophicum,6
species,Trichlorobacter lovleyi,2
species,Chlorobium limicola,2
species,Halothermothrix orenii,4
species,Chlorobaculum parvum,2
species,Chloroherpeton thalassium,1
species,Candidatus Amoebophilus asiaticus,1
species,Alteromonas mediterranea,4.2
species,Agathobacter rectalis,5
species,Prosthecochloris aestuarii,1
species,Pelodictyon phaeoclathratiforme,3
species,Deinococcus deserti,4
species,Citrifermentans bemidjiense,4
species,Streptococcus equi,5.9
species,Hydrogenobaculum sp. Y04AAS1,2
species,Anaeromyxobacter sp. K,2
species,Acidithiobacillus ferrooxidans,2
species,Edwardsiella piscicida,8.76
species,Desulfurococcus amylolyticus,1
species,Coprothermobacter proteolyticus,2
species,Dictyoglomus thermophilum,2
species,Thermodesulfovibrio yellowstonii,1
species,Laribacter hongkongensis,7
species,Azotobacter vinelandii,6
species,Ureaplasma urealyticum,2
species,Thermosipho africanus,3
species,Gluconacetobacter diazotrophicus,4
species,Afipia carboxidovorans,1
species,Bifidobacterium animalis,3.81
species,Rickettsia peacockii,1
species,Sulfurihydrogenibium azorense,2
species,Persephonella marina,2
species,Dictyoglomus turgidum,2
species,Thermomicrobium roseum,2
species,Nautilia profundicola,4
species,Methylocella silvestris,2
species,Thauera aminoaromatica,4
species,Rippkaea orientalis,2
species,Gloeothece citriformis,3
species,Rhodobacter capsulatus,4
species,Glaesserella parasuis,6
species,Desulfatibacillum aliphaticivorans,2
species,Chloroflexus aggregans,3
species,Methanosphaerula palustris,3
species,Thioalkalivibrio sulfidiphilus,1
species,Pseudarthrobacter chlorophenolicus,5
species,Ruminiclostridium cellulolyticum,8
species,Methylobacterium nodulans,7
species,Halorubrum lacusprofundi,3
species,Geotalea daltonii,2
species,Wolbachia sp. wRi,1
species,[Acidovorax] ebreus,3
species,Caldicellulosiruptor bescii,3
species,Thermococcus gammatolerans,1
species,Saccharolobus islandicus,1
species,Neorickettsia risticii,1
species,Thermococcus sibiricus,1
species,Acidobacterium capsulatum,1
species,Blattabacterium sp. (Blattella germanica),1
species,Burkholderia glumae,5
species,Bartonella grahamii,2
species,Brucella microti,3
species,Rickettsia prowazekii,1
species,Edwardsiella ictaluri,8.11
species,Corynebacterium aurimucosum,3.6
species,Aggregatibacter aphrophilus,6
species,Rickettsia africae,1
species,Teredinibacter turnerae,3
species,Exiguobacterium sp. AT1b,9
species,Tolumonas auensis,8
species,Beutenbergia cavernae,2
species,Dyadobacter fermentans,4
species,Corynebacterium kroppenstedtii,3
species,Micrococcus luteus,2
species,Desulfomicrobium baculatum,2
species,Actinosynnema mirum,5
species,Acidimicrobium ferrooxidans,2
species,Capnocytophaga ochracea,4
species,Kosmotoga olearia,2
species,Maridesulfovibrio salexigens,5
species,Zunongwangia profunda,3
species,Musicola paradisiaca,7
species,Dickeya chrysanthemi,7
species,Paenibacillus sp. JDR-2,12
species,Pectobacterium carotovorum,7
species,Methylotenera mobilis,2
species,Methylovorus glucosotrophus,2
species,Candidatus Liberibacter asiaticus,3
species,Hirschia baltica,2
species,Pedobacter heparinus,3
species,Cryptobacterium curtum,3
species,Saccharomonospora viridis,3
species,Slackia heliotrinireducens,2
species,Leptotrichia buccalis,5
species,Kytococcus sedentarius,2
species,Halorhabdus utahensis,1
species,Halomicrobium mukohataei,3
species,Methanocaldococcus fervens,2
species,Chitinophaga pinensis,6
species,Catenulispora acidiphila,3
species,Jonesia denitrificans,5
species,Kangiella koreensis,2
species,Anaerococcus prevotii,4
species,Robiginitalea biformata,2
species,Candidatus Accumulibacter phosphatis,2
species,Methanobrevibacter ruminantium,2
species,Desulfofarcimen acetoxidans,10
species,Lancefieldella parvula,1
species,Eggerthella lenta,3
species,Alicyclobacillus acidocaldarius,6
species,Desulfohalobium retbaense,2
species,Kribbella flavida,2
species,Nakamurella multipartita,2
species,Thermomonospora curvata,4
species,Sebaldella termitidis,4
species,Meiothermus ruber,2
species,Bifidobacterium dentium,4
species,Candidatus Puniceispirillum marinum,1
species,Anaplasma centrale,1
species,Stackebrandtia nassauensis,2
species,Streptobacillus moniliformis,5
species,Ammonifex degensii,2
species,Methanocaldococcus vulcanius,2
species,Pectobacterium parmentieri,7
species,Fibrobacter succinogenes,3
species,Paenibacillus sp. Y412MC10,8
species,Nitrosococcus halophilus,2
species,Halothiobacillus neapolitanus,2
species,Gordonia bronchialis,2
species,Haliangium ochraceum,2
species,Vibrio antiquarius,11
species,Rhodothermus marinus,1
species,Streptosporangium roseum,6
species,Sulfurospirillum deleyianum,3
species,Thermanaerovibrio acidaminovorans,3
species,Sanguibacter keddieii,4
species,Veillonella parvula,4
species,Xylanimonas cellulosilytica,3
species,Sphaerobacter thermophilus,2
species,Thermobaculum terrenum,2
species,Dickeya parazeae,7
species,Staphylococcus lugdunensis,5.77
species,Candidatus Atelocyanobacterium thalassa,2
species,Mageeibacillus indolicus,2
species,Conexibacter woesei,1
species,Archaeoglobus profundus,1
species,Acidaminococcus fermentans,6
species,Haloterrigena turkmenica,3
species,Geodermatophilus obscurus,3
species,Mycoplasmoides gallisepticum,2.1
species,Pantoea ananatis,7
species,Allochromatium vinosum,3
species,Ferroglobus placidus,1
species,Methanocaldococcus sp. FS406-22,2
species,Thioalkalivibrio sp. K90mix,1
species,Enterobacter cloacae,7.89
species,Thermocrinis albus,1
species,Natrialba magadii,3
species,Thermoanaerobacter italicus,4
species,Candidatus Aciduliprofundum boonei,1
species,Haloferax volcanii,1.75
species,Sideroxydans lithotrophicus,2
species,Denitrovibrio acetiphilus,2
species,Priestia megaterium,13.4
species,Mycoplasma crocodyli,2
species,Methanohalophilus mahii,3
species,Aminobacterium colombiense,3
species,Coraliomargarita akajimensis,2
species,Xylanibacter ruminicola,4
species,Desulfotalea psychrophila,7
species,Aromatoleum aromaticum,4
species,Ehrlichia ruminantium,1
species,Chlamydia abortus,1
species,Natronomonas pharaonis,1
species,Latilactobacillus sakei,6.85
species,Pseudoalteromonas translucida,9
species,Pseudomonas entomophila,7
species,Bradyrhizobium sp. ORS 278,2
species,Erwinia tasmaniensis,7
species,Candidatus Phytoplasma mali,2
species,Escherichia fergusonii,7
species,Leuconostoc citreum,4
species,Mycobacterium liflandii,1
species,Citrobacter rodentium,7
species,Listeria seeligeri,6.2
species,Streptococcus mitis,3.87
species,Streptococcus gallolyticus,6
species,Erwinia amylovora,7
species,Xenorhabdus bovienii,7
species,Erwinia pyrifoliae,7
species,Mycoplasmoides genitalium,1
species,Mycoplasmoides pneumoniae,1
species,Bartonella quintana,2
species,Bartonella henselae,2
species,Chromohalobacter israelensis,5
species,Lawsonia intracellularis,2
species,Frankia alni,2
species,Listeria welshimeri,6
species,Christiangramia forsetii,3
species,Azoarcus olearius,4
species,Saccharopolyspora erythraea,4
species,Methanocella arvoryzae,3
species,Clavibacter michiganensis,2
species,Mycoplasmopsis agalactiae,1.9
species,Flavobacterium psychrophilum,5.43
species,Sorangium cellulosum,4
species,Bordetella petrii,3
species,Mycobacteroides abscessus,1
species,Clavibacter sepedonicus,2
species,Corynebacterium urealyticum,3
species,Proteus mirabilis,6.93
species,Bordetella avium,3
species,Stenotrophomonas maltophilia,3.75
species,Metamycoplasma hominis,1.94
species,Xanthomonas albilineans,2
species,Sphingobium indicum,2.5
species,Streptomyces scabiei,6
species,Shewanella violacea,14
species,Vibrio atlanticus,11.5
species,Methanocaldococcus jannaschii,2
species,Propionibacterium freudenreichii,2
species,Legionella longbeachae,4
species,Helicobacter mustelae,2
species,Agrobacterium fabrum,4
species,Rhizobium etli,3
species,Planctopirus limnophila,2
species,Allomeiothermus silvanus,2
species,Thermosphaera aggregans,1
species,Desulfurivibrio alkaliphilus,2
species,Tsukamurella paurometabola,2
species,Arcobacter nitrofigilis,4
species,Moraxella catarrhalis,4
species,Caulobacter segnis,2
species,Methanocaldococcus infernus,2
species,Arcanobacterium haemolyticum,4
species,Streptomyces bingchenggensis,6
species,Syntrophothermus lipocalidus,2
species,Truepera radiovictrix,2
species,Geobacillus sp. C56-T3,8
species,Staphylothermus hellenicus,1
species,Leuconostoc kimchii,4
species,Shigella sonnei,7
species,Thermobispora bispora,4
species,Waddlia chondrophila,2
species,Segniliparus rotundus,1
species,Brachyspira murdochii,1
species,Cellulomonas flavigena,2
species,Paraburkholderia atlantica,7
species,Kyrpidia tusciae,5
species,Ancylobacter novellus,1
species,Thermincola potens,3
species,Thermoanaerobacter mathranii,4
species,Nocardiopsis dassonvillei,5
species,Methylotenera versatilis,3
species,Candidatus Riesia pediculicola,2
species,Salisediminibacterium selenitireducens,7
species,Comamonas thiooxydans,7.33
species,Blattabacterium sp. (Periplaneta americana),1
species,Nitrosococcus watsonii,2
species,Hyphomicrobium denitrificans,1
species,Herbaspirillum seropedicae,3
species,Clostridium ljungdahlii,9
species,Corynebacterium pseudotuberculosis,4
species,Brachyspira pilosicoli,1
species,Olsenella uli,1
species,Gordonia sp. KTR9,3
species,Desulfarculus baarsii,1
species,Sediminispirochaeta smaragdinae,2
species,Prevotella melaninogenica,4
species,Brevundimonas subvibrioides,1.67
species,Lacrimispora saccharolytica,6
species,Thermosediminibacter oceani,3
species,Acetohalobium arabaticum,5
species,Acidilobus saccharovorans,1
species,Butyrivibrio proteoclasticus,6
species,Caldicellulosiruptor obsidiansis,3
species,Micromonospora aurantiaca,3
species,Gallionella capsiferriformans,3
species,Clostridium cellulovorans,9
species,Methanothermobacter marburgensis,2
species,Thermoanaerobacterium thermosaccharolyticum,5
species,Mesomycoplasma hyorhinis,1
species,Pseudomonas amygdali,5
species,Candidatus Endomicrobiellum trichonymphae,1
species,Candidatus Cloacimonas acidaminovorans,2
species,Shewanella oneidensis,9
species,Lachnospira eligens,5
species,Aggregatibacter actinomycetemcomitans,6
species,Bacillus spizizenii,9.3
