#NAME,Y.A.0H,Y.B.0H,Y.C.0H,Y.D.0H,Y.E.0H,Y.CN.A.24H,Y.CN.B.24H,Y.CN.C.24H,Y.CN.D.24H,Y.CN.E.24H,OFP.A.24H,OFP.B.24H,OFP.C.24H,OFP.D.24H,OFP.E.24H,IQ.A.24H,IQ.B.24H,IQ.C.24H,IQ.D.24H,IQ.E.24H,PM.A.24H,PM.B.24H,PM.C.24H,PM.D.24H,PM.E.24H,EM.A.24H,EM.B.24H,EM.C.24H,EM.D.24H,EM.E.24H
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter,0.012721232306630878,0.008766049504079292,0.008425053786291131,0.002034813742168344,0.0016957071287228825,0.00045436713417601547,0.000532853266886992,0.0,0.0005066759001532204,0.0,0.0009912647908072525,0.0012105415502932794,0.00011611039099015773,0.0019069144476335858,0.00013190710753848266,0.0001510056755463364,0.0004898028141374866,0.0,0.0020351103391962884,0.0,0.00013536424434026266,0.0001636424193157586,5.218517517364838e-05,0.0026381681330852713,0.00014415173825323496,0.0025700607444838217,0.00011401119320620963,0.0,0.0012294904700023543,8.347025475410504e-05
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella,0.059061311016768314,0.031807523214801674,0.005057382356512836,0.018569559484084442,0.04676921756934731,0.045477101607306086,0.11267123122406904,0.20511369867143717,0.2627379943956433,0.09297306837122078,0.045624614104888474,0.0012232840929279456,0.0009288831279212618,0.03950238859986781,0.0036347736299493,0.018523362867017265,0.0031347380104799144,0.00578273753615493,0.02762244448795117,0.00718567268435855,0.014583241256924298,0.0029892015261678575,0.005886487759587537,0.01580070661164328,0.003639030547903887,0.006328906788062218,0.0009323582022196699,0.01011400710473695,0.003950762710274232,0.002025544848699616
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Enorma,0.0,0.0,0.0,0.0,0.0,0.0,0.0006167283181562407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CHKCI002,0.0,0.0,0.00022205525084943514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella,0.0,0.0,0.0,0.0,0.0,0.00031198742047042265,0.0006120162366242605,0.0034089068627537757,0.006587599985940747,0.0,0.0,0.0,0.0,0.0001813841695626739,0.0,0.0,0.0,0.00010887161370295001,0.00015465203684930813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,0.00727710307600528,0.004129641734205199,0.00013878453178089696,0.005198299323824641,0.004615985659740579,0.000596282328314981,0.006741083323872182,0.0008958446184598996,0.012624152067934567,0.007573152460322084,0.00913212445074398,0.0015802759566613468,0.0,0.002812347266851183,0.0019387921317992204,0.004716450233599483,0.003085372057558971,0.0,0.004366093161804202,0.006033101704119811,0.0007194556293675377,0.0001932784480107385,0.0,0.0005014166964864756,0.00018917550951868105,0.0003997372597622353,0.00026931777922726684,0.0,0.0004840513661426592,0.0002957607451917108
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011377226654440725,0.0001206371190841001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Parvibacter,0.000727710307600528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.993951437417086e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Senegalimassilia,0.009160588578030177,0.001946831103268165,0.0,0.0,0.004539688376108504,0.04993864499637965,0.0416772371475915,0.0,0.0,0.017796908281756896,0.023493756065589212,0.0023829558076639357,0.0,0.0,0.000796289625560394,0.015496907910398303,0.0010383463655246536,0.0,0.0,0.0012879655323401844,0.00023981854312251258,0.00022549152267919496,0.0,0.0,0.00030268081522988967,0.00034977010229195595,0.0,0.0,0.0,0.0002300361351491084
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia,0.008643914259633801,0.00299694000139463,0.0,0.0208455363364357,0.007412662591274315,0.0205601128214647,0.15605496009563705,0.0,0.12084220218654307,0.17157653073186493,0.0013382074675897908,0.000382276279039983,0.0,0.004903494293914935,0.004484841656308411,0.0010067045036422427,0.0016954712797066845,0.0,0.0033033675071012215,0.008695123096488181,0.00047377485519091927,0.0009000333062366724,0.0,0.002092340243481422,0.003027186503317934,0.000222104014955392,0.0004940485038935751,0.0,0.0009528551142518245,0.0014607294581968383
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__unclassified,0.006078521392898528,0.0003539692915033027,0.0006384088461921261,0.00014241915955683947,0.0011063106126650976,0.000745352910393726,0.00011188520039621877,0.031294838671532495,0.006269330598071343,0.0017039593035724687,0.00015610469146570905,0.0,0.0,0.00019066761131194458,0.00010386386420352965,0.00019817017788233124,0.0,0.00016022129607150674,0.00032513459715563205,0.0,0.00013323252395695142,0.0,0.00024654413467865377,0.00019101588437580024,0.00018917550951868105,0.00034977010229195595,0.0,0.0002962717679255996,0.00026622825137846256,0.0
